"FID_";"TABID";"POINT_X";"POINT_Y";"demH"
;1431876;9.2501;61.2256;944
;1431877;9.2687;61.2264;937
;1431878;9.2872;61.2272;931
;1431879;9.3057;61.2279;945
;1431880;9.3243;61.2287;960
;1431881;9.3428;61.2295;974
;1433058;9.0111;61.2062;812
;1433059;9.0296;61.207;796
;1433060;9.0481;61.2078;796
;1433061;9.0666;61.2087;865
;1433062;9.0851;61.2095;904
;1433063;9.1036;61.2103;1009
;1433064;9.1221;61.2111;1079
;1433065;9.1406;61.2119;997
;1433066;9.1592;61.2127;915
;1433067;9.1777;61.2135;920
;1433068;9.1962;61.2143;926
;1433069;9.2147;61.2151;926
;1433070;9.2332;61.2159;947
;1433071;9.2518;61.2167;985
;1433072;9.2703;61.2174;1011
;1433073;9.2888;61.2182;937
;1433074;9.3073;61.219;950
;1433075;9.3259;61.2198;1032
;1433076;9.3444;61.2206;1037
;1433077;9.3629;61.2213;1047
;1434253;9.0128;61.1973;766
;1434254;9.0313;61.1981;731
;1434255;9.0498;61.1989;777
;1434256;9.0683;61.1997;806
;1434257;9.0868;61.2005;847
;1434258;9.1053;61.2013;856
;1434259;9.1238;61.2021;898
;1434260;9.1423;61.203;918
;1434261;9.1608;61.2038;877
;1434262;9.1793;61.2046;872
;1434263;9.1979;61.2054;879
;1434264;9.2164;61.2061;906
;1434265;9.2349;61.2069;954
;1434266;9.2534;61.2077;1002
;1434267;9.2719;61.2085;991
;1434268;9.2904;61.2093;948
;1434269;9.309;61.2101;938
;1434270;9.3275;61.2109;992
;1434271;9.346;61.2116;1043
;1434272;9.3645;61.2124;1071
;1434273;9.383;61.2132;1079
;1434274;9.4016;61.2139;1111
;1434275;9.4201;61.2147;1009
;1434276;9.4386;61.2155;987
;1435449;9.033;61.1892;742
;1435450;9.0515;61.19;720
;1435451;9.07;61.1908;795
;1435452;9.0885;61.1916;800
;1435453;9.107;61.1924;838
;1435454;9.1255;61.1932;875
;1435455;9.144;61.194;890
;1435456;9.1625;61.1948;864
;1435457;9.181;61.1956;861
;1435458;9.1995;61.1964;870
;1435459;9.218;61.1972;888
;1435460;9.2365;61.198;914
;1435461;9.255;61.1988;1007
;1435462;9.2736;61.1996;1008
;1435463;9.2921;61.2004;912
;1435464;9.3106;61.2011;925
;1435465;9.3291;61.2019;972
;1435466;9.3476;61.2027;981
;1435467;9.3661;61.2035;985
;1435468;9.3846;61.2042;1017
;1435469;9.4032;61.205;1014
;1435470;9.4217;61.2058;971
;1435471;9.4402;61.2065;944
;1435472;9.4587;61.2073;973
;1435473;9.4773;61.2081;1022
;1435474;9.4958;61.2088;1023
;1435475;9.5143;61.2096;1008
;1436644;9.0347;61.1802;799
;1436645;9.0532;61.181;720
;1436646;9.0716;61.1819;726
;1436647;9.0901;61.1827;766
;1436648;9.1086;61.1835;805
;1436649;9.1271;61.1843;838
;1436650;9.1456;61.1851;848
;1436651;9.1641;61.1859;873
;1436652;9.1826;61.1867;854
;1436653;9.2011;61.1875;854
;1436654;9.2197;61.1883;859
;1436655;9.2382;61.1891;889
;1436656;9.2567;61.1899;1021
;1436657;9.2752;61.1906;988
;1436658;9.2937;61.1914;896
;1436659;9.3122;61.1922;880
;1436660;9.3307;61.193;918
;1436661;9.3492;61.1938;985
;1436662;9.3677;61.1945;937
;1436663;9.3862;61.1953;939
;1436664;9.4047;61.1961;1023
;1436665;9.4233;61.1968;924
;1436666;9.4418;61.1976;912
;1436667;9.4603;61.1984;913
;1436668;9.4788;61.1991;926
;1436669;9.4973;61.1999;938
;1436670;9.5159;61.2006;937
;1436671;9.5344;61.2014;970
;1436672;9.5529;61.2021;1051
;1437839;9.0364;61.1713;873
;1437840;9.0548;61.1721;740
;1437841;9.0733;61.1729;742
;1437842;9.0918;61.1737;796
;1437845;9.1473;61.1762;870
;1437846;9.1658;61.177;890
;1437847;9.1843;61.1778;905
;1437848;9.2028;61.1786;901
;1437849;9.2213;61.1793;854
;1437850;9.2398;61.1801;879
;1437851;9.2583;61.1809;935
;1437852;9.2768;61.1817;1038
;1437853;9.2953;61.1825;913
;1437854;9.3138;61.1833;876
;1437855;9.3323;61.1841;874
;1437856;9.3508;61.1848;906
;1437857;9.3693;61.1856;980
;1437858;9.3878;61.1864;913
;1437859;9.4063;61.1871;945
;1437860;9.4249;61.1879;908
;1437861;9.4434;61.1887;906
;1437862;9.4619;61.1894;906
;1437863;9.4804;61.1902;906
;1437864;9.4989;61.1909;909
;1437865;9.5174;61.1917;949
;1437866;9.5359;61.1924;1074
;1439035;9.0565;61.1632;631
;1439036;9.075;61.164;639
;1439041;9.1674;61.168;916
;1439042;9.186;61.1688;906
;1439043;9.2044;61.1696;901
;1439044;9.2229;61.1704;896
;1439045;9.2414;61.1712;878
;1439046;9.2599;61.172;879
